"Figure 1: The employment rate for all people increased by 0.3 percentage points on the year to 76.4%, but was down 0.2 percentage points on the quarter",""
"UK employment rates (aged 16 to 64 years), seasonally adjusted, between January to March 1971 and March to May 2020",""
"",""
"Notes",""
"Unit","%"
"",""
"Period","People","Men","Women"
"May-Jul 2017","75.264","79.732","70.852"
"Jun-Aug 2017","75.138","79.623","70.708"
"Jul-Sep 2017","75.007","79.444","70.624"
"Aug-Oct 2017","75.076","79.408","70.796"
"Sep-Nov 2017","75.338","79.887","70.844"
"Oct-Dec 2017","75.175","79.635","70.768"
"Nov-Jan 2018","75.303","79.755","70.903"
"Dec-Feb 2018","75.375","79.812","70.990"
"Jan-Mar 2018","75.561","80.017","71.156"
"Feb-Apr 2018","75.594","79.961","71.275"
"Mar-May 2018","75.632","80.076","71.237"
"Apr-Jun 2018","75.549","80.107","71.040"
"May-Jul 2018","75.519","80.090","70.997"
"Jun-Aug 2018","75.557","80.130","71.033"
"Jul-Sep 2018","75.553","80.090","71.064"
"Aug-Oct 2018","75.712","80.278","71.194"
"Sep-Nov 2018","75.761","80.305","71.264"
"Oct-Dec 2018","75.833","80.315","71.397"
"Nov-Jan 2019","76.106","80.497","71.761"
"Dec-Feb 2019","76.127","80.481","71.819"
"Jan-Mar 2019","76.057","80.314","71.843"
"Feb-Apr 2019","76.113","80.293","71.976"
"Mar-May 2019","76.049","80.188","71.953"
"Apr-Jun 2019","76.102","80.129","72.116"
"May-Jul 2019","76.126","80.232","72.062"
"Jun-Aug 2019","75.874","80.152","71.639"
"Jul-Sep 2019","76.047","80.310","71.825"
"Aug-Oct 2019","76.153","80.372","71.975"
"Sep-Nov 2019","76.343","80.379","72.345"
"Oct-Dec 2019","76.471","80.563","72.419"
"Nov-Jan 2020","76.457","80.450","72.502"
"Dec-Feb 2020","76.562","80.477","72.684"
"Jan-Mar 2020","76.635","80.408","72.898"
"Feb-Apr 2020","76.369","80.053","72.720"
"Mar-May 2020","76.377","80.093","72.697"
